#{"t_start": 1769534691.7832222, "env_id": "None"}
r,l,t
0.0,30,39.750728
0.0,4,39.763752
0.0,25,39.767019
0.0,6,39.815379
0.0,6,39.818997
0.0,2,39.823036
0.0,69,39.828046
0.0,324,39.842662
0.0,78,39.884111
0.0,46,39.897937
0.0,18,39.984444
0.0,38,40.037037
0.0,41,40.043074
0.0,92,40.05024
0.0,49,40.103796
0.0,80,40.11393
0.0,14,40.117429
0.0,50,40.123194
0.0,8,40.168002
0.0,6,40.186965
0.0,17,40.186965
0.0,61,40.227053
0.0,33,40.227053
0.0,20,40.241379
0.0,11,40.254669
0.0,37,40.258702
0.0,10,40.265244
0.0,52,40.301867
0.0,7,40.321532
0.0,10,40.321532
0.0,21,40.323536
0.0,6,40.370643
0.0,4,40.382059
0.0,48,40.390527
0.0,22,40.464411
0.0,21,40.526662
0.0,36,40.530341
0.0,50,40.532349
0.0,14,40.532349
0.0,8,40.588856
0.0,36,40.593788
0.0,12,40.593788
0.0,4,40.606688
0.0,11,40.65686
0.0,78,40.670936
0.0,76,40.706819
0.0,4,40.711351
0.0,2,40.717904
0.0,4,40.720822
0.0,20,40.775112
0.0,2,40.782398
0.0,12,40.786102
0.0,104,40.792944
0.0,55,40.885427
0.0,48,40.919951
0.0,16,40.980174
0.0,8,41.032429
0.0,37,41.035006
0.0,81,41.037014
0.0,2,41.043058
0.0,80,41.094981
0.0,4,41.106771
0.0,42,41.166758
0.0,37,41.238878
0.0,88,41.250007
0.0,44,41.292761
0.0,10,41.298771
0.0,7,41.298771
0.0,55,41.361438
0.0,14,41.363442
0.0,2,41.36837
0.0,39,41.379132
0.0,50,41.382156
0.0,2,41.386279
0.0,20,41.419893
0.0,10,41.444226
0.0,29,41.450758
0.0,17,41.451284
0.0,19,41.503436
0.0,29,41.572695
0.0,44,41.621267
0.0,31,41.633413
0.0,152,41.653794
0.0,30,41.653794
0.0,45,41.696693
0.0,24,41.699533
0.0,22,41.779009
0.0,35,41.785853
0.0,176,41.812916
0.0,26,41.817038
0.0,2,41.821882
0.0,6,41.824955
0.0,41,41.912728
0.0,85,41.916924
0.0,2,41.950759
0.0,4,41.964883
0.0,30,41.974872
0.0,19,42.039051
0.0,42,42.045099
0.0,52,42.111232
0.0,80,42.154279
0.0,13,42.180458
0.0,27,42.186679
0.0,107,42.228476
0.0,36,42.235188
0.0,79,42.239979
0.0,13,42.248664
0.0,6,42.292639
0.0,29,42.305151
0.0,64,42.316736
0.0,10,42.366934
0.0,14,42.372685
0.0,34,42.382089
0.0,27,42.385159
0.0,32,42.392711
0.0,36,42.442346
0.0,83,42.449497
0.0,7,42.492095
0.0,16,42.496103
0.0,21,42.518162
0.0,2,42.524871
0.0,12,42.58912
0.0,20,42.611977
0.0,18,42.665419
0.0,45,42.667878
0.0,58,42.720942
0.0,22,42.736812
0.0,15,42.742604
0.0,13,42.806722
0.0,22,42.822422
0.0,4,42.822422
0.0,80,42.858941
0.0,23,42.954509
0.0,2,42.991091
0.0,59,43.002397
0.0,101,43.056702
0.0,89,43.076641
0.0,56,43.159899
0.0,2,43.166926
0.0,30,43.224159
0.0,44,43.240661
0.0,6,43.286895
0.0,37,43.292668
0.0,94,43.370164
0.0,4,43.413385
0.0,85,43.472769
0.0,125,43.472769
0.0,204,43.496892
0.0,45,43.540906
0.0,68,43.605392
0.0,2,43.612984
0.0,60,43.623583
0.0,4,43.636843
0.0,39,43.680946
0.0,94,43.690264
0.0,34,43.690264
0.0,67,43.767137
0.0,29,43.818541
0.0,53,43.82689
0.0,48,43.932086
0.0,23,43.942388
0.0,64,43.947794
0.0,12,44.007086
0.0,17,44.03016
0.0,14,44.082926
0.0,60,44.139806
0.0,127,44.151773
0.0,39,44.166322
0.0,14,44.245215
0.0,102,44.245215
0.0,2,44.2524
0.0,24,44.268491
0.0,5,44.268491
0.0,30,44.305972
0.0,2,44.305972
0.0,100,44.348989
0.0,115,44.348989
0.0,10,44.404941
0.0,15,44.410472
0.0,26,44.491385
0.0,17,44.4954
0.0,2,44.50464
0.0,42,44.5564
0.0,35,44.675566
0.0,110,44.689836
0.0,93,44.760474
0.0,8,44.81069
0.0,4,44.823809
0.0,145,44.856425
0.0,67,44.862366
0.0,66,44.882254
0.0,11,44.885211
0.0,10,44.888746
0.0,2,44.892754
0.0,4,44.925223
0.0,23,44.998747
0.0,19,45.011177
0.0,116,45.024091
0.0,4,45.064539
0.0,68,45.074915
0.0,4,45.078665
0.0,16,45.09114
0.0,7,45.126889
0.0,46,45.157028
0.0,22,45.227032
0.0,6,45.276867
0.0,2,45.283643
0.0,67,45.286907
0.0,58,45.30006
0.0,39,45.331155
0.0,23,45.416678
0.0,64,45.422326
0.0,28,45.428863
0.0,2,45.428863
0.0,2,45.462972
0.0,26,45.466959
0.0,4,45.470986
0.0,146,45.479031
0.0,215,45.492359
0.0,6,45.498724
0.0,17,45.55123
0.0,9,45.55123
0.0,11,45.5628
0.0,22,45.5628
0.0,12,45.617381
0.0,54,45.617381
0.0,45,45.701543
0.0,99,45.729101
0.0,8,45.759038
0.0,6,45.80474
0.0,34,45.810775
0.0,28,45.887012
0.0,53,45.887012
0.0,64,45.956842
0.0,25,45.959393
0.0,98,45.976843
0.0,63,45.979641
0.0,21,46.015376
0.0,38,46.037464
0.0,27,46.037464
0.0,14,46.09488
0.0,9,46.098712
0.0,95,46.107065
0.0,2,46.107065
0.0,29,46.15472
0.0,12,46.161316
0.0,33,46.175251
0.0,6,46.221649
0.0,12,46.228682
0.0,52,46.242857
0.0,30,46.257783
0.0,12,46.305909
0.0,9,46.311268
0.0,8,46.357904
0.0,47,46.421567
0.0,34,46.421567
0.0,16,46.421567
0.0,70,46.434865
0.0,4,46.434865
0.0,6,46.453842
0.0,4,46.498673
0.0,18,46.510959
0.0,12,46.565833
0.0,2,46.573486
0.0,30,46.594972
0.0,2,46.626825
0.0,46,46.669693
0.0,125,46.783962
0.0,48,46.830835
0.0,9,46.887104
0.0,97,46.892155
0.0,72,46.904615
0.0,56,46.912152
0.0,23,46.916727
0.0,9,46.952543
0.0,9,46.982043
0.0,12,46.982043
0.0,22,46.98711
0.0,62,47.019049
0.0,19,47.0228
0.0,146,47.026812
0.0,6,47.032407
0.0,14,47.099015
0.0,40,47.153145
0.0,213,47.153145
0.0,2,47.160208
0.0,29,47.169318
0.0,8,47.180024
0.0,34,47.182056
0.0,11,47.226801
0.0,2,47.232048
