#{"t_start": 1769553017.487848, "env_id": "None"}
r,l,t
0.0,120,917.199344
0.9625,5,917.222842
0.0,120,917.254503
0.955,6,917.299636
0.0,120,917.328699
0.0,120,917.336732
0.6325,49,917.382255
0.0,11,917.539953
0.805,26,917.626049
0.0,120,917.760813
0.0,120,917.781794
0.0,120,917.819645
0.0,56,917.854367
0.0,83,917.948614
0.97,4,918.005252
0.0,120,918.089437
0.0,28,918.089437
0.9625,5,918.145348
0.835,22,918.26923
0.0,120,939.942993
0.9925,1,939.952118
0.5425,61,939.975819
0.94,8,940.023375
0.85,20,940.044016
0.0,120,940.053929
0.9025,13,940.09265
0.895,14,940.149206
0.0,23,940.188836
0.0,120,940.207138
0.0,120,940.285517
0.0,4,940.315845
0.9025,13,940.425112
0.0,120,940.488943
0.0,120,940.512654
0.5725,57,940.639409
0.0,120,940.664016
0.0,120,940.699043
0.0,8,940.726014
0.0,49,940.811265
0.0,83,940.845853
0.0,24,940.854775
0.0,30,962.31069
0.0,120,962.335966
0.7675,31,962.344709
0.0,120,962.372418
0.0,120,962.427481
0.9325,9,962.495462
0.9175,11,962.564219
0.9475,7,962.612582
0.0,99,962.612582
0.7225,37,962.630604
0.9625,5,962.648484
0.88,16,962.722656
0.0,120,962.735304
0.835,22,962.77492
0.94,8,962.77492
0.97,4,962.800108
0.0,8,962.826145
0.97,4,962.826145
0.0,120,963.069339
0.97,4,963.106408
0.0,120,963.106408
0.0,120,963.116255
0.9175,11,963.179512
0.9925,1,963.190139
0.0,120,963.215563
0.0,120,963.238442
0.0,120,986.501692
0.67,44,986.787674
0.0,120,986.835125
0.3025,93,986.835125
0.0,69,986.878812
0.9325,9,986.915765
0.0,120,986.95079
0.55,60,986.966343
0.9475,7,987.011349
0.9475,7,987.029917
0.8575,19,987.062847
0.0,120,987.070333
0.88,16,987.158637
0.0,20,987.175546
0.0,97,987.248843
0.0,120,987.322941
0.0,17,987.453657
0.0,48,987.462197
0.0,120,987.470631
0.0,28,987.485165
0.0,70,987.499829
0.955,6,987.512122
0.985,2,987.53117
0.925,10,1008.99386
0.2275,103,1009.036864
0.55,60,1009.049421
0.235,102,1009.09039
0.895,14,1009.101882
0.7675,31,1009.137777
0.9175,11,1009.137777
0.955,6,1009.178361
0.7675,31,1009.327385
0.5725,57,1009.347301
0.0,30,1009.359481
0.0,108,1009.374795
0.0,28,1009.396178
0.9775,3,1009.396178
0.0,7,1009.441012
0.0,120,1009.557082
0.0,120,1009.889772
0.9925,1,1009.903315
0.0,120,1009.952935
0.0,75,1009.986455
0.0,87,1034.701572
0.0,22,1034.708955
0.0,120,1034.729274
0.0,120,1034.729274
0.0,104,1034.766402
0.925,10,1034.790891
0.7225,37,1034.835925
0.0,120,1034.895281
0.0,3,1034.922364
0.0,120,1034.990143
0.9025,13,1035.013269
0.0,3,1035.03325
0.6625,45,1035.03325
0.0,120,1035.114656
0.0,120,1035.387366
0.91,12,1035.484856
0.22,104,1059.997481
0.0,120,1060.020373
0.0,120,1060.046097
0.0,120,1060.092357
0.3175,91,1060.151098
0.0,120,1060.167912
0.91,12,1060.227674
0.7675,31,1060.30238
0.0,120,1060.30238
0.0,120,1060.339202
0.6025,53,1060.370322
0.0,120,1060.423141
0.8725,17,1060.436618
0.8125,25,1060.592425
0.625,50,1060.616895
0.7975,27,1060.651373
0.25,100,1060.672163
0.0,53,1060.755742
0.775,30,1060.880752
0.0,120,1060.934061
0.9925,1,1060.947543
0.0,120,1060.969234
0.6175,51,1083.219768
0.0,120,1083.238272
0.8425,21,1083.253206
0.6775,43,1083.253206
0.94,8,1083.29489
0.3775,83,1083.361997
