#{"t_start": 1769548066.3942976, "env_id": "None"}
r,l,t
0.0,91,324.217907
0.6925,41,324.223148
0.7075,39,324.235684
0.0,32,324.238307
0.985,2,324.240924
0.0,30,324.261563
0.0,120,324.272315
0.0,26,324.282091
0.7675,31,324.34203
0.655,46,324.351058
0.9625,5,324.353712
0.0,120,324.37403
0.0,39,324.379725
0.985,2,324.382573
0.0,68,324.382605
0.9925,1,324.385278
0.655,46,324.390148
0.9925,1,324.392826
0.0,97,324.405343
0.0,120,324.414001
0.8725,17,324.419233
0.0,120,324.430255
0.0,9,324.439365
0.0,4,324.439399
0.8575,19,324.456093
0.0,120,324.458684
0.925,10,324.462334
0.0,53,324.472973
0.0,120,324.475789
0.0,41,324.475815
0.6925,41,324.481485
0.9025,13,324.492495
0.0,120,333.071812
0.8875,15,333.071864
0.0,26,333.083788
0.6775,43,333.121671
0.6625,45,333.121719
0.0,7,333.136814
0.88,16,333.155469
0.145,114,333.158138
0.6475,47,333.185509
0.7975,27,333.196024
0.0,88,333.200605
0.8425,21,333.203212
0.0,120,333.207867
0.9175,11,333.211138
0.985,2,333.21595
0.0,120,333.307231
0.9325,9,333.314599
0.91,12,333.314628
0.94,8,333.325093
0.1525,113,333.325121
0.9325,9,333.333936
0.0,8,333.342487
0.0,120,333.361436
0.0,40,333.373089
0.0,120,333.378313
0.9775,3,333.382056
0.955,6,333.39454
0.8875,15,333.399202
0.0,69,333.401952
0.64,48,333.410568
0.0,120,341.661391
0.0,120,341.661441
0.0,20,341.679276
0.925,10,341.684056
0.595,54,341.700207
0.4525,73,341.722821
0.865,18,341.740621
0.94,8,341.743591
0.5575,59,341.760081
0.0,120,341.790414
0.0,120,341.813397
0.3775,83,341.824496
0.76,32,341.829604
0.0,120,341.836632
0.9475,7,341.843742
0.58,56,341.864434
0.97,4,341.872712
0.0,120,341.877285
0.0,27,341.888576
0.0,24,341.895339
0.6325,49,341.8999
0.0,120,341.899928
0.9775,3,341.907179
0.2125,105,341.911847
0.9625,5,341.920548
0.9925,1,341.923179
0.64,48,341.925897
0.0,120,341.930594
0.805,26,341.938607
0.97,4,341.941587
0.0,120,350.412993
0.7825,29,350.420099
0.9175,11,350.422746
0.0,22,350.435057
0.9625,5,350.445721
0.0,120,350.467871
0.0,49,350.481002
0.7825,29,350.483602
0.7375,35,350.490946
0.6325,49,350.497893
0.0,6,350.504482
0.7975,27,350.528779
0.64,48,350.548949
0.0,26,350.557542
0.0,120,350.564131
0.88,16,350.593933
0.0,120,350.606469
0.0,120,350.623714
0.0,120,350.628943
0.0,3,350.636163
0.9475,7,350.640695
0.0,76,350.651545
0.0,20,350.651579
0.0,120,350.66242
0.0,13,350.679414
